HOSPITAL_ID,PAYOR1,DIAGNOSIS_1,PATS,PWC,TD,TC,XC,XD
170,2,J441,1,1,3,15683,15683,3
170,3,J441,1,1,11,59262,59262,11
170,4,J441,1,1,4,41164,41164,4
171,1,J441,2,2,5,33389,16694.5,2.5
171,2,J441,1,1,2,12664,12664,2
171,4,J441,5,5,14,98818,19763.6,2.8
171,5,J441,1,1,2,14175,14175,2
463,3,J449,1,1,47,201074,201074,47
464,1,J440,3,3,41,175397,58465.6667,13.669999999999998
464,1,J441,8,8,170,1129180,141147.5,21.25
470,1,J440,1,1,22,110434,110434,22
470,1,J441,4,4,63,349166,87291.5,15.75
493,4,J441,1,1,2,4768,4768,2
